,,Author,"Author Description",Date,Rating,"Helpful count",Review,"Picture included",Language,"Message Original","Language code","Reviewer Data","Profile Url","Review Url",Photos
53,,"Safeer Khan",,"2025-02-11 10:49:54",4,3,"this application is very best for learning English.",no,en_US,,,,,,
54,,"Deepak Shinde",,"2025-02-11 10:53:29",5,2,"Wow its toooo nice✨✨",no,en_US,,,,,,
55,,"Sean Andy Cansancio",,"2025-02-11 10:54:09",5,2,"Love it!!",no,en_US,,,,,,
56,,"Senithu Dilneth",,"2025-02-11 10:55:44",5,11,"Good now I can go China",no,en_US,,,,,,
57,,"Ranjana Naidu",,"2025-02-11 10:55:49",5,2,"Best app ....☺️",no,en_US,,,,,,
58,,"Kiran Sahu",,"2025-02-11 10:56:44",5,2,"very fantastic app",no,en_US,,,,,,
59,,"Aung Khaing Phyo",,"2025-02-11 10:57:01",5,10,"Beginner friendly imo, Edit: there are a lot of bugs and glitch in Duolingo. I installed this app two times because the audio is missing most of the lessons. After installing again, still missing. I am considering to leave this app now.",no,en_US,,,,,,
60,,"Eunice Fernandez",,"2025-02-11 10:57:42",5,3,"Now i learned Filipino. I am half Filipino!",no,en_US,,,,,,
61,,"Md Mizan",,"2025-02-11 10:57:51",4,6,ভালো,no,en_US,,,,,,
62,,"snow white",,"2025-02-11 10:58:03",5,4,"nice Duolingo💗",no,en_US,,,,,,
63,,"MBernie MAGNO",,"2025-02-11 10:58:08",5,4,"It is very easy to follow and very simple to catch up to the exercises.",no,en_US,,,,,,
64,,"Karen's Raisins potato salad",,"2025-02-11 10:58:22",5,3,"fun and gets me up and going.",no,en_US,,,,,,
65,,"Ermi Work",,"2025-02-11 10:59:19",5,5,"amazing app for learning any language.I like it",no,en_US,,,,,,
66,,"Samiah Shahid",,"2025-02-11 10:59:56",5,8,"Very good This app is so helpful",no,en_US,,,,,,
67,,"Nickesha B",,"2025-02-11 11:00:55",3,53,"was great when it started a few yrs ago. when you paid for it, you had access to everything. Now it's 2 different paying categories. smh",no,en_US,,,,,,
68,,"Shajalal babu",,"2025-02-11 11:02:50",5,15,"When I was playing duolingo somewhere Glitch happened that said I you",no,en_US,,,,,,
69,,"Mohammad Sayed",,"2025-02-11 11:04:11",5,16,"its awsome",no,en_US,,,,,,
70,,"Bipul Shil",,"2025-02-11 11:05:08",5,14,"This app is so good for children to lern in his favourite language",no,en_US,,,,,,
71,,"Aaron Rayyan Zaman",,"2025-02-12 00:07:45",1,117,"Why so many ads? :(",no,en_US,,,,,,
72,,"Chelsea Lynn",,"2025-02-12 15:51:03",1,163,"Don't waste your time or money on this app, the only way to learn now is to pay. YOU HAVE TO PAY FOR HEARTS WHEN YOU COULD PRACTICE TO FILL THEM UP. They don't care about what you have to say, your complaints etc, so saying you don't like something won't matter. Their customer service doesn't exist.",no,en_US,,,,,,
73,,"Natasha Burgess",,"2025-02-13 07:32:41",5,1,"I am having so much fun on duolingo it's teaching me math and things and it's so much fun",no,en_US,,,,,,
74,,"Vinayak Sharma",,"2025-02-13 14:59:35",5,5,"Nice app and best for learni",no,en_US,,,,,,
75,,"Tapan Banarjee",,"2025-02-14 07:36:18",5,5,"This show this app is a so good and my Japanese is perfect and English",no,en_US,,,,,,
76,,"Pinkie Thakholi",,"2025-02-14 09:34:56",5,8,"This app is good",no,en_US,,,,,,
77,,"Thomas Blake",,"2025-02-14 19:52:42",5,25,Rip,no,en_US,,,,,,
78,,"Mohammad Ibrahim",,"2025-02-15 06:02:00",5,9,"🤮just fun☺️🥰🥰🥰🥰",no,en_US,,,,,,
79,,"Annielyn Lim",,"2025-02-16 02:39:28",5,1,"I love it😎",no,en_US,,,,,,
80,,"Mada Traka",,"2025-02-17 05:43:31",1,111,"Ah, Duolingo—the linguistic dungeon ruled by a psychotic green owl. It bombards you with nonsense like “The ducks are reading the newspaper” while butchering grammar and logic alike. Miss a lesson? The owl knows. It haunts your phone, guilt-tripping you like a Victorian aunt. Learning? Hardly. It’s a bizarre endurance test in frustration. A real scholar would abandon this neon-green tyranny for a book, a tutor, and the sweet silence of an owl-free life.",no,en_US,,,,,,
81,,"Zhe Min Chio",,"2025-02-17 06:28:24",4,1,"The math part is really hard to balance the number. But still great app",no,en_US,,,,,,
82,,"Akbar Deshmukh",,"2025-02-17 17:55:38",5,2,"So Beautiful app and so helpful",no,en_US,,,,,,
83,,"Sehrish Ali",,"2025-02-17 20:31:41",5,7,"Oh my god I love you Duo I love your app so much😍😘🙏💋🙌💖💜💖❤️♥️💕💞Love you",no,en_US,,,,,,
84,,"Xuân Lĩnh Hồ",,"2025-02-18 06:04:05",1,4,"Quả nhiều quảng cáo , app giáo dục mà toàn quảng cáo rác như tra tấn người học, bọn tham tiền mất dạy. Đáp án thì không dịch ra nghĩa tiếng Việt thì sao học được cụm từ vựng, toàn phải trên bên app khác, quá thất vọng cách dạy kiểu này.",no,en_US,,,,,,
85,,"Honey Bee",,"2025-02-18 14:23:12",4,18,"Unfortunately there appears to be a lot of people who cheat In the competitions mode by downloading the mod version form some websites. Extremely unfair to others. According to Meta AI,I was informed that Its impossible to score 30 000 points ànd 433 perfect lessons In one day but this reflects on people's profiles and these points are scored in less then two hrs on the app. Let's be honest in the usage of the competition mode,so that those who compete can enjoy the competition mode too.",no,en_US,,,,,,
86,,Jade,,"2025-02-18 19:03:39",1,69,"This is not free learning. Do not believe the lies. Duolingo is a joke. It used to be decent and actually let you learn anything/teach you anything, but now they treat the app like it's a damn game. You literally cannot continue a lesson without paying these people because you ruin out of ""hearts"" aka VIDEO GAME LIVES. what a massive joke and rip off. So much for their preaching you learning for free. Because like absolutely everything else - it costs money. you even have to pay for mistakes!!!!",no,en_US,,,,,,
87,,"Yahya Alsayadi",,"2025-02-19 09:58:17",5,1,"I love it 💞💞💞",no,en_US,,,,,,
88,,"Miroslav Novák",,"2025-02-19 21:39:42",1,44,"And more and more ads. Lately it's been more like woke propaganda.",no,en_US,,,,,,
89,,"Gargi Patil",,"2025-02-20 07:10:37",5,3,Awesome.......,no,en_US,,,,,,
90,,"Erin Lee",,"2025-02-20 20:59:59",3,1,"Good..... Not bad....",no,en_US,,,,,,
91,,"M Mugesh",,"2025-02-22 14:17:52",1,5,"I not a tamil other language in diolingo",no,en_US,,,,,,
92,,"Mirela Mirela",,"2025-02-24 07:02:55",3,12,"I don't think I made an inappropriate comment. You had errors in the system and I also lost a facebook account registered on gmail in 2018 because of you. ""Long and frequent breaks are the key to great success."" - Romanian proverb",no,en_US,,,,,,
93,,"Navid Poladi",,"2025-02-25 07:28:53",1,29,"Why did you limited the option to regain hearts by practicing",no,en_US,,,,,,
94,,"Jessica Whitmore",,"2025-02-25 17:35:30",1,28,"Now you can't even practice for a heart. Thanks for the sparky ads, but if I wanted to pay i would use a proper language service and not this game",no,en_US,,,,,,
95,,"Akiyan Ahmed",,"2025-02-26 03:01:24",4,0,"fun just super fun but dou might threaten you because that if you don't do your Spanish lessons you vanish and it's official.Duolingo made a literal song about it called Spanish or vanish (it's a literal meme)",no,en_US,,,,,,
96,,"Hazel Belle Amour Cartmel",,"2025-02-26 10:55:19",5,9,"He's live?",no,en_US,,,,,,
97,,"Idri Kycyku",,"2025-02-26 21:03:10",5,6,"Why is duolingo bird deaddddddd (Edit: the bird is backkkkkkkkkk)",no,en_US,,,,,,
98,,"No Reason",,"2025-02-27 09:03:12",5,1,"The bird is alive?!!!!",no,en_US,,,,,,
99,,"Md Mahfuj Ahmed",,"2025-02-27 09:20:27",3,0,"This app is realy very interesting",no,en_US,,,,,,
100,,"jonilyn eisma",,"2025-02-27 09:47:57",5,28,"Duo's bro got his reboot card",no,en_US,,,,,,
